SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (Crores),52W H,52W L,30 D %CHNG,365 D %CHNG
"CANBK","129.60","129.95","129.05","129.60","129.70","-","0.1","0.08","2067744","26.78","162.89","103.55","1.63","15.43"
"RVNL","227.90","231.38","227.89","227.90","228.08","-","0.18","0.08","1229747","28.22","400.70","220.16","1.17","-31.11"
"TATAELXSI","3,665.10","3,673.80","3,636.60","3,660.00","3,662.60","-","2.6","0.07","40983","14.98","5,950.00","3,353.90","5.73","-36.3"
"AUROPHARMA","1,609.10","1,624.00","1,606.00","1,608.00","1,609.00","-","1","0.06","241671","38.97","1,682.40","1,016.10","1.79","53.67"
"IRFC","86.48","86.98","86.30","86.47","86.52","-","0.05","0.06","2131013","18.45","137.17","85.00","-2.08","-31.77"
"HYUNDAI","2,222.00","2,251.70","2,217.20","2,227.00","2,228.40","-","1.4","0.06","312539","69.98","2,890.00","1,658.00","13.7","-10.49"
"NESTLEIND","1,465.00","1,468.60","1,449.00","1,458.00","1,458.70","-","0.7","0.05","425309","61.94","1,553.00","1,145.00","0.42","22.49"
"TMPV","321.50","322.40","319.75","320.25","320.40","-","0.15","0.05","2430370","78.00","739.70","294.30","-4.06","0"
"SUZLON","47.10","47.34","46.91","47.00","47.02","-","0.02","0.04","11303469","53.19","61.50","38.19","-11.6","-21.47"
"BLUESTARCO","1,525.20","1,525.20","1,506.60","1,510.00","1,510.60","-","0.6","0.04","60621","9.18","2,040.00","1,450.00","-11.32","-21.66"
"AXISBANK","1,250.60","1,256.40","1,245.10","1,251.00","1,251.00","-","0","0","1304906","163.17","1,418.30","1,042.50","-0.57","15.81"
"MFSL","1,572.50","1,575.40","1,561.30","1,575.00","1,574.50","-","-0.5","-0.03","83626","13.13","1,892.50","1,433.60","2.31","-4.17"
"KALYANKJIL","596.00","598.00","591.50","596.00","595.80","-","-0.2","-0.03","1569462","93.39","648.95","327.05","3.29","16.73"
"BANKBARODA","244.00","245.55","243.50","244.50","244.38","-","-0.12","-0.05","2369380","57.85","325.50","230.81","-1.29","-0.16"
"BAJFINANCE","1,105.40","1,105.50","1,092.20","1,095.00","1,094.40","-","-0.6","-0.05","1250720","137.26","1,176.40","787.90","2.41","23.34"
"ZYDUSLIFE","1,109.60","1,113.30","1,103.20","1,107.70","1,106.90","-","-0.8","-0.07","100095","11.08","1,205.00","835.50","-3.1","12.65"
"TCS","2,290.10","2,300.00","2,263.30","2,298.00","2,296.50","-","-1.5","-0.07","753579","171.87","3,350.00","1,976.80","3.46","-25.84"
"PAGEIND","35,600.00","35,665.00","35,210.00","35,505.00","35,480.00","-","-25","-0.07","6856","24.30","47,310.00","29,805.00","-11.45","-21.77"
